Place,Pincode,Location
A F Station Yelahanka ,560063,Bangalore
Agram ,560007,Bangalore
Air Force Hospital ,560007,Bangalore
Amruthahalli ,560092,Bangalore
Anandnagar ,560024,Bangalore
Arabic College ,560045,Bangalore
Attur ,560064,Bangalore
Austin Town ,560047,Bangalore
Banaswadi ,560043,Bangalore
Bangalore Bazaar ,560001,Bangalore
Bangalore International Airport ,560300,Bangalore
Bangalore Sub Foreign Post ,560025,Bangalore
Bellandur ,560103,Bangalore
Benson Town ,560046,Bangalore
Bhattarahalli ,560049,Bangalore
Bidrahalli ,560049,Bangalore
BSF Campus Yelahanka ,560063,Bangalore
Byatarayanapura ,560092,Bangalore
C.V.Raman Nagar ,560093,Bangalore
CMM Court Complex ,560001,Bangalore
CMP Centre And School ,560025,Bangalore
CRPF Campus Yelahanka ,560064,Bangalore
Devanagundi ,560067,Bangalore
Devasandra ,560036,Bangalore
Doddagubbi ,560077,Bangalore
Doddanekkundi ,560037,Bangalore
Domlur ,560071,Bangalore
Doorvaninagar ,560016,Bangalore
Dr. Ambedkar Veedhi ,560001,Bangalore
Dr. Shivarama Karanth Nagar ,560077,Bangalore
EPIP ,560066,Bangalore
Fraser Town ,560005,Bangalore
G.K.V.K. ,560065,Bangalore
Gunjur ,560087,Bangalore
H.A. Farm ,560024,Bangalore
H.A.L II Stage ,560008,Bangalore
H.K.P. Road ,560051,Bangalore
Hebbal Kempapura ,560024,Bangalore
HighCourt ,560001,Bangalore
Hoodi ,560048,Bangalore
Horamavu ,560043,Bangalore
Hulsur Bazaar ,560008,Bangalore
Indiranagar  ,560038,Bangalore
ISRO Anthariksha Bhavan ,560094,Bangalore
J.C.Nagar ,560006,Bangalore
Jakkur ,560064,Bangalore
Jalavayuvihar ,560043,Bangalore
Jeevanbhimanagar ,560075,Bangalore
Kadugodi Extention SO,560067,Bangalore
Kadugodi ,560067,Bangalore
Kalyananagar ,560043,Bangalore
Kannamangala ,560067,Bangalore
Kodigehalli ,560092,Bangalore
Kothanur ,560077,Bangalore
Krishnarajapuram R S ,560016,Bangalore
Krishnarajapuram ,560036,Bangalore
Kundalahalli ,560037,Bangalore
Legislators Home ,560001,Bangalore
Lingarajapuram ,560084,Bangalore
Mahadevapura ,560048,Bangalore
Mahatma Gandhi Road ,560001,Bangalore
Marathahalli Colony ,560037,Bangalore
Maruthi Sevanagar ,560033,Bangalore
Medimallasandra ,560067,Bangalore
Mundur ,560049,Bangalore
Museum Road ,560025,Bangalore
Muthusandra ,560087,Bangalore
NAL ,560017,Bangalore
New Thippasandra ,560075,Bangalore
P&T Col. Kavalbyrasandra ,560032,Bangalore
Panathur ,560103,Bangalore
R T Nagar ,560032,Bangalore
R.M.V. Extension II Stage ,560094,Bangalore
Rajanakunte ,560064,Bangalore
Rajbhavan  ,560001,Bangalore
Ramamurthy Nagar ,560016,Bangalore
Rameshnagar ,560037,Bangalore
Richmond Town ,560025,Bangalore
Sadashivanagar ,560080,Bangalore
Sahakaranagar  ,560092,Bangalore
Singanayakanahalli ,560064,Bangalore
Sivan Chetty Gardens ,560042,Bangalore
St. Thomas Town ,560084,Bangalore
Training Command IAF ,560006,Bangalore
Vartur ,560087,Bangalore
Vasanthanagar ,560001,Bangalore
Venkateshapura ,560045,Bangalore
Vidhana Soudha ,560001,Bangalore
Vimanapura ,560017,Bangalore
Virgonagar ,560049,Bangalore
Viveknagar  ,560047,Bangalore
Whitefield ,560066,Bangalore
Yelahanka ,560064,Bangalore
Yelahanka Satellite Town ,560064,Bangalore
Bangalore G.. ,560001,Bangalore
Adugodi ,560030,Bangalore
Agara ,560034,Bangalore
Anjanapura ,560108,Bangalore
Ashoknagar  ,560050,Bangalore
B Sk II Stage ,560070,Bangalore
Banashankari III Stage ,560085,Bangalore
Banashankari ,560050,Bangalore
Bangalore Corporation Building ,560002,Bangalore
Bannerghatta Road ,560076,Bangalore
Bannerghatta ,560083,Bangalore
Basavanagudi ,560004,Bangalore
Begur ,560068,Bangalore
Bnagalore Viswavidalaya ,560056,Bangalore
Bolare ,560082,Bangalore
Bommanahalli  ,560068,Bangalore
Bommasandra Industrial Estate ,560099,Bangalore
Carmelram ,560035,Bangalore
Chamrajpet  ,560018,Bangalore
Chandapura ,560099,Bangalore
Chandapura ,560081,Bangalore
Chickpet ,560053,Bangalore
Chikkalasandra ,560061,Bangalore
Chudenapura ,560060,Bangalore
Dasarahalli(Srinagar) ,560050,Bangalore
Deepanjalinagar ,560026,Bangalore
Dharmaram College ,560029,Bangalore
Doddakallasandra ,560062,Bangalore
Electronics City ,560100,Bangalore
Gaviopuram Extension ,560019,Bangalore
Girinagar  ,560085,Bangalore
Gottigere ,560083,Bangalore
Governmemnt Electric Factory ,560026,Bangalore
Haragadde ,560105,Bangalore
Hennagara ,560105,Bangalore
HSR Layout ,560102,Bangalore
Hulimangala ,560105,Bangalore
Hulimavu ,560076,Bangalore
Hulimavu ,560076,Bangalore
J P Nagar ,560078,Bangalore
Jayanagar ,560041,Bangalore
Jayanagar West ,560070,Bangalore
Jayangar III Block ,560011,Bangalore
Jigani ,560105,Bangalore
JP Nagar III Phase ,560078,Bangalore
JP Nagar VIII phase ,560076,Bangalore
Kallubalu ,560105,Bangalore
Kathriguppe ,560085,Bangalore
Konanakunte ,560062,Bangalore
Koramangala I Block ,560034,Bangalore
Koramangala ,560034,Bangalore
Koramangala VI Bk ,560095,Bangalore
