Place,pincode,Location
A F Station Yelahanka S.O,560063,Bangalore
Agram S.O,560007,Bangalore
Air Force Hospital S.O,560007,Bangalore
Amruthahalli B.O,560092,Bangalore
Anandnagar S.O (Bangalore),560024,Bangalore
Arabic College S.O,560045,Bangalore
Attur B.O,560064,Bangalore
Austin Town S.O,560047,Bangalore
Banaswadi S.O,560043,Bangalore
Bangalore Bazaar S.O,560001,Bangalore
Bangalore International Airport S.O,560300,Bangalore
Bangalore Sub Foreign Post S.O,560025,Bangalore
Bellandur S.O,560103,Bangalore
Benson Town S.O,560046,Bangalore
Bhattarahalli S.O,560049,Bangalore
Bidrahalli B.O,560049,Bangalore
BSF Campus Yelahanka S.O,560063,Bangalore
Byatarayanapura B.O,560092,Bangalore
C.V.Raman Nagar S.O,560093,Bangalore
CMM Court Complex S.O,560001,Bangalore
CMP Centre And School S.O,560025,Bangalore
CRPF Campus Yelahanka S.O,560064,Bangalore
Devanagundi B.O,560067,Bangalore
Devasandra S.O,560036,Bangalore
Doddagubbi B.O,560077,Bangalore
Doddanekkundi B.O,560037,Bangalore
Domlur S.O,560071,Bangalore
Doorvaninagar S.O,560016,Bangalore
Dr. Ambedkar Veedhi S.O,560001,Bangalore
Dr. Shivarama Karanth Nagar S.O,560077,Bangalore
EPIP S.O,560066,Bangalore
Fraser Town S.O,560005,Bangalore
G.K.V.K. S.O,560065,Bangalore
Gunjur B.O,560087,Bangalore
H.A. Farm S.O,560024,Bangalore
H.A.L II Stage H.O,560008,Bangalore
H.K.P. Road S.O,560051,Bangalore
Hebbal Kempapura S.O,560024,Bangalore
HighCourt S.O,560001,Bangalore
Hoodi B.O,560048,Bangalore
Horamavu B.O,560043,Bangalore
Hulsur Bazaar S.O,560008,Bangalore
Indiranagar S.O (Bangalore),560038,Bangalore
ISRO Anthariksha Bhavan S.O,560094,Bangalore
J.C.Nagar S.O,560006,Bangalore
Jakkur B.O,560064,Bangalore
Jalavayuvihar S.O,560043,Bangalore
Jeevanbhimanagar S.O,560075,Bangalore
Kadugodi Extention SO,560067,Bangalore
Kadugodi S.O,560067,Bangalore
Kalyananagar S.O,560043,Bangalore
Kannamangala B.O,560067,Bangalore
Kodigehalli B.O,560092,Bangalore
Kothanur S.O,560077,Bangalore
Krishnarajapuram R S S.O,560016,Bangalore
Krishnarajapuram S.O,560036,Bangalore
Kundalahalli S.O,560037,Bangalore
Legislators Home S.O,560001,Bangalore
Lingarajapuram S.O,560084,Bangalore
Mahadevapura S.O,560048,Bangalore
Mahatma Gandhi Road S.O,560001,Bangalore
Marathahalli Colony S.O,560037,Bangalore
Maruthi Sevanagar S.O,560033,Bangalore
Medimallasandra B.O,560067,Bangalore
Mundur B.O,560049,Bangalore
Museum Road S.O,560025,Bangalore
Muthusandra B.O,560087,Bangalore
NAL S.O,560017,Bangalore
