Place,Pincode,Location
Antop Hill S.O,400037,Mumbai
B P T Colony S.O,400037,Mumbai
B.P.Lane S.O,400003,Mumbai
BEST STaff Quarters S.O,400012,Mumbai
C G S Colony S.O,400037,Mumbai
Chamarbaug S.O,400012,Mumbai
Chinchbunder H.O,400009,Mumbai
Cotton Exchange S.O,400033,Mumbai
Dadar Colony S.O,400014,Mumbai
Dadar H.O,400014,Mumbai
Dockyard Road S.O,400010,Mumbai
Haffkin Institute S.O,400012,Mumbai
Kalachowki S.O,400033,Mumbai
Kidwai Nagar S.O (Mumbai),400031,Mumbai
L B S N E collage S.O,400033,Mumbai
Lal Baug S.O,400012,Mumbai
Mandvi S.O (Mumbai),400003,Mumbai
Masjid S.O,400003,Mumbai
Mazgaon Dock S.O,400010,Mumbai
Mazgaon Road S.O,400010,Mumbai
Mazgaon S.O,400010,Mumbai
Naigaon S.O (Mumbai),400014,Mumbai
Noor Baug S.O,400009,Mumbai
Null Bazar S.O,400003,Mumbai
Parel Naka S.O,400012,Mumbai
Parel Rly Work Shop S.O,400012,Mumbai
Parel S.O,400012,Mumbai
Princess Dock S.O,400009,Mumbai
Reay Road S.O,400033,Mumbai
Sewri S.O,400015,Mumbai
Tank Road S.O,400033,Mumbai
V J B Udyan S.O,400027,Mumbai
V K Bhavan S.O,400010,Mumbai
Wadala Rs S.O,400031,Mumbai
Wadala S.O,400031,Mumbai
Wadala Truck Terminal S.O,400037,Mumbai
A I Staff Colony S.O,400029,Mumbai
Airport S.O (Mumbai),400099,Mumbai
Andheri East S.O,400069,Mumbai
Andheri H.O,400053,Mumbai
Andheri Railway Station S.O,400058,Mumbai
Audit Bhavan S.O,400051,Mumbai
Azad Nagar S.O (Mumbai),400053,Mumbai
B.N. Bhavan S.O,400051,Mumbai
Bandra West S.O,400050,Mumbai
Bandra(East) S.O,400051,Mumbai
Chakala Midc S.O,400093,Mumbai
Danda S.O,400052,Mumbai
Government Colony S.O,400051,Mumbai
H.M.P. School S.O,400058,Mumbai
Hanuman Road S.O,400057,Mumbai
International Airport S.O,400099,Mumbai
IRLA S.O,400056,Mumbai
J.B. Nagar S.O,400059,Mumbai
Juhu S.O,400049,Mumbai
Khar Colony S.O,400052,Mumbai
Khar Delivery S.O,400052,Mumbai
Kherwadi S.O,400051,Mumbai
Madh B.O,400061,Mumbai
Marol Bazar S.O,400059,Mumbai
Marol Naka S.O,400059,Mumbai
Nagardas Road S.O,400069,Mumbai
Sahar P & T Colony S.O,400099,Mumbai
Sahargaon B.O,400099,Mumbai
Santacruz Central S.O,400054,Mumbai
Santacruz P&t Colony S.O,400029,Mumbai
Santacruz(East) S.O,400055,Mumbai
Santacruz(West) S.O,400054,Mumbai
Seepz S.O,400096,Mumbai
V.P. Road S.O,400052,Mumbai
Vakola S.O,400055,Mumbai
Vesava S.O,400061,Mumbai
Vidyanagari S.O,400098,Mumbai
Vileeparle (East) S.O,400057,Mumbai
Vileparle Railway Station S.O,400057,Mumbai
Vileparle(West) S.O,400056,Mumbai
Anushakti Nagar S.O,400094,Mumbai
BARC S.O,400085,Mumbai
Barve Nagar S.O,400084,Mumbai
Best Staff Colony S.O,400075,Mumbai
Bhandup Complex S.O,400082,Mumbai
Bhandup East S.O,400042,Mumbai
Bhandup Ind. Estate S.O,400078,Mumbai
Bhandup West S.O,400078,Mumbai
Chembur Extension S.O,400074,Mumbai
Chembur H.O,400071,Mumbai
Chembur Rs S.O,400089,Mumbai
Chunabhatti S.O,400022,Mumbai
D.M. Colony S.O,400043,Mumbai
FCI S.O,400074,Mumbai
Ghatkopar West S.O,400086,Mumbai
Govandi S.O,400088,Mumbai
J.M. Road S.O,400078,Mumbai
Kannamwar Nagar S.O,400083,Mumbai
Kurla North S.O,400070,Mumbai
Kurla S.O,400070,Mumbai
Mahul Road S.O,400074,Mumbai
Matunga S.O,400019,Mumbai
Mhada Colony S.O,400081,Mumbai
Mulund Colony S.O,400082,Mumbai
Mulund Dd Road S.O,400080,Mumbai
Mulund East S.O,400081,Mumbai
Mulund West S.O,400080,Mumbai
Nahur S.O,400080,Mumbai
Nehru Nagar S.O (Mumbai),400024,Mumbai
Nehru Road S.O (Mumbai),400080,Mumbai
Netajinagar S.O,400070,Mumbai
NITIE S.O,400087,Mumbai
P.H. Colony S.O,400078,Mumbai
Pant Nagar S.O,400075,Mumbai
Powai Iit S.O,400076,Mumbai
Psm Colony S.O,400079,Mumbai
R.A.Nagar S.O,400075,Mumbai
Rajawadi S.O,400077,Mumbai
Raoli Camp S.O,400022,Mumbai
Rifle Range S.O,400086,Mumbai
S.B. Road S.O,400080,Mumbai
Sahakar Bhavan S.O,400086,Mumbai
Sakinaka S.O,400072,Mumbai
Shivaji Nagar S.O (Mumbai),400043,Mumbai
Sindhi Society S.O,400071,Mumbai
Sion S.O,400022,Mumbai
T.F.Donar S.O,400088,Mumbai
Tagore Nagar S.O,400083,Mumbai
Tilak Nagar S.O (Mumbai),400089,Mumbai
Transit Camp S.O,400022,Mumbai
Trombay S.O,400088,Mumbai
Usha Nagar S.O,400078,Mumbai
Vihar Road S.O,400072,Mumbai
Vikhroli S.O,400079,Mumbai
Aareymilk Colony S.O,400065,Mumbai
Bangur Nagar S.O,400104,Mumbai
Borivali East S.O,400066,Mumbai
Borivali H.O,400091,Mumbai
Borivali West S.O,400092,Mumbai
Charkop S.O,400067,Mumbai
Dahisar RS S.O,400068,Mumbai
Dahisar S.O,400068,Mumbai
Daulat Nagar S.O (Mumbai),400066,Mumbai
Goregaon East S.O,400063,Mumbai
Goregaon RS S.O,400104,Mumbai
Goregaon S.O (Mumbai),400104,Mumbai
Ins Hamla S.O,400095,Mumbai
Jogeshwari East S.O,400060,Mumbai
Jogeshwari West S.O,400102,Mumbai
Kandivali East S.O,400101,Mumbai
Kandivali RS S.O,400067,Mumbai
Kandivali West S.O,400067,Mumbai
Ketkipada B.O,400068,Mumbai
Kharodi S.O,400095,Mumbai
Liberty Garden S.O,400064,Mumbai
Magthane B.O,400066,Mumbai
Malad East S.O,400097,Mumbai
Malad S.O,400064,Mumbai
Malad West Dely S.O,400064,Mumbai
Mandapeshwar S.O,400103,Mumbai
Motilal Nagar S.O,400104,Mumbai
Nagari Niwara S.O,400065,Mumbai
Orlem S.O,400064,Mumbai
Oshiwara S.O,400102,Mumbai
Rajendra Nagar S.O (Mumbai),400066,Mumbai
Rani Sati Marg S.O,400097,Mumbai
S R P F Camp S.O,400065,Mumbai
S. K.Nagar S.O,400066,Mumbai
Sharma Estate S.O,400063,Mumbai
Ambewadi S.O (Mumbai),400004,Mumbai
Asvini S.O,400005,Mumbai
Bazargate S.O,400001,Mumbai
Central Building S.O,400020,Mumbai
Charni Road S.O,400004,Mumbai
Chaupati S.O,400004,Mumbai
Churchgate S.O,400020,Mumbai
Colaba Bazar S.O,400005,Mumbai
Colaba S.O,400005,Mumbai
Elephanta Caves Po B.O,400001,Mumbai
Girgaon S.O,400004,Mumbai
High Court Building S.O (Mumbai),400032,Mumbai
Holiday Camp S.O,400005,Mumbai
Kalbadevi H.O,400002,Mumbai
M.P.T. S.O,400001,Mumbai
Madhavbaug S.O,400004,Mumbai
Mantralaya S.O (Mumbai),400032,Mumbai
Marine Lines S.O,400020,Mumbai
Nariman Point S.O,400021,Mumbai
New Yogakshema S.O,400021,Mumbai
Opera House S.O,400004,Mumbai
Ramwadi S.O,400002,Mumbai
S. C. Court S.O,400002,Mumbai
Secretariate S.O,400032,Mumbai
Stock Exchange S.O,400001,Mumbai
Tajmahal S.O,400001,Mumbai
Thakurdwar S.O,400002,Mumbai
Town Hall S.O (Mumbai),400001,Mumbai
V.W.T.C. S.O,400005,Mumbai
Agripada S.O,400011,Mumbai
Bharat Nagar S.O (Mumbai),400007,Mumbai
Bhawani Shankar Rd S.O,400028,Mumbai
Bhawani Shankar S.O,400028,Mumbai
BPC  Jacob Circle S.O,400011,Mumbai
Century Mill S.O,400030,Mumbai
Chinchpokli S.O,400011,Mumbai
Cumballa Hill S.O,400026,Mumbai
Cumballa Sea Face S.O,400026,Mumbai
Delisle Road S.O,400013,Mumbai
Dharavi Road S.O,400017,Mumbai
Dharavi S.O,400017,Mumbai
Dr Deshmukh Marg S.O,400026,Mumbai
Falkland Road S.O,400008,Mumbai
Gokhale Road S.O (Mumbai),400028,Mumbai
Gowalia Tank S.O,400026,Mumbai
Grant Road S.O,400007,Mumbai
Haines Road S.O,400011,Mumbai
Haji Ali S.O,400034,Mumbai
J.J.Hospital S.O,400008,Mumbai
Jacob Circle S.O,400011,Mumbai
Kamathipura S.O,400008,Mumbai
Kapad Bazar S.O,400016,Mumbai
M A Marg S.O,400008,Mumbai
Mahim Bazar S.O,400016,Mumbai
Mahim East S.O,400016,Mumbai
Mahim H.O,400016,Mumbai
Malabar Hill S.O,400006,Mumbai
Mori Road S.O,400016,Mumbai
Mumbai Central H.O,400008,Mumbai
N.S.Patkar Marg S.O,400007,Mumbai
New Prabhadevi Road S.O,400025,Mumbai
Prabhadevi S.O,400025,Mumbai
Rajbhavan S.O (Mumbai),400035,Mumbai
Ranade Road S.O,400028,Mumbai
S V Marg S.O,400007,Mumbai
S V S Marg S.O,400028,Mumbai
Shivaji Park S.O (Mumbai),400028,Mumbai
Tardeo S.O,400007,Mumbai
Tulsiwadi S.O,400034,Mumbai
Worli Colony S.O,400030,Mumbai
Worli Naka S.O,400018,Mumbai
Worli Police Camp S.O,400030,Mumbai
Worli S.O,400018,Mumbai
Worli Sea Face S.O,400030,Mumbai
Mumbai G.P.O. ,400001,Mumbai
Adai B.O,410206,Mumbai
Airoli B.O,400708,Mumbai
Airoli S.O,400708,Mumbai
Ajivali B.O,410221,Mumbai
Ambivali B.O,410201,Mumbai
Apta B.O,410207,Mumbai
Awre B.O,410206,Mumbai
Barapada B.O,410221,Mumbai
Beed Budruk B.O,410201,Mumbai
Belapur Node-- III S.O,400614,Mumbai
Belapur Node- V S.O,400614,Mumbai
Bhivpuri Camp B.O,410201,Mumbai
Bokadvira B.O,400702,Mumbai
Borgaon B.O,410101,Mumbai
Chanje B.O,400702,Mumbai
Chawk B.O,410206,Mumbai
Chikhale B.O,410221,Mumbai
Chinchwali B.O,410201,Mumbai
Chirner B.O,410206,Mumbai
Dahivali T.Need B.O,410201,Mumbai
Dahivali T.Varedi B.O,410101,Mumbai
Darave B.O,400706,Mumbai
Devichapada B.O,410208,Mumbai
Dighode B.O,410206,Mumbai
Donwat B.O,410203,Mumbai
Gaulwadi B.O,410201,Mumbai
Gaurkamath B.O,410201,Mumbai
Gavan B.O,410206,Mumbai
Ghansoli S.O,400701,Mumbai
Gulsunde B.O,410207,Mumbai
Gundge B.O,410201,Mumbai
Humgaon B.O,410201,Mumbai
Jagdish Nagar S.O,410216,Mumbai
Jambrung B.O,410201,Mumbai
Jasai B.O,410206,Mumbai
Jaskhar B.O,400707,Mumbai
Jci Kamothe B.O,410206,Mumbai
Jnpt S.O,400707,Mumbai
Jui B.O,410206,Mumbai
K.U.Bazar S.O,400703,Mumbai
Kadav B.O,410201,Mumbai
Kalamb B.O,410101,Mumbai
Kalamboli Node S.O,410218,Mumbai
Karanja B.O,400702,Mumbai
Karjat S.O (Raigarh(MH)),410201,Mumbai
Kashele B.O,410201,Mumbai
Kegaon B.O,400702,Mumbai
Kelevane B.O,410206,Mumbai
Khalapur S.O,410202,Mumbai
Khambewadi B.O,410203,Mumbai
Khanda Colony S.O,410206,Mumbai
Khandas B.O,410201,Mumbai
Kharghar S.O,410210,Mumbai
Khopoli Power House S.O,410204,Mumbai
Khopoli S.O,410203,Mumbai
Kirwali B.O,410201,Mumbai
Kondivade B.O,410201,Mumbai
Konkan Bhavan S.O,400614,Mumbai
Kopar Khairne S.O,400709,Mumbai
Koproli B.O,410206,Mumbai
Koshane B.O,410201,Mumbai
Koynavale B.O,410208,Mumbai
Kundevahal B.O,410206,Mumbai
Lodhivali B.O,410206,Mumbai
Mandavane B.O,410201,Mumbai
Mangaon T.Varedi B.O,410101,Mumbai
Manivali B.O,410101,Mumbai
Matheran S.O,410102,Mumbai
Mazgaon B.O,410220,Mumbai
Millenium Business Park S.O,400710,Mumbai
Mohopada S.O,410222,Mumbai
Mora B.O,400704,Mumbai
Morbe B.O,410206,Mumbai
N.S.Karanja S.O,400704,Mumbai
Nandgaon B.O,410201,Mumbai
Nasarapur B.O,410201,Mumbai
Navde B.O,410208,Mumbai
Navghar B.O,400707,Mumbai
Neral S.O,410101,Mumbai
Nere B.O,410206,Mumbai
Nerul Node-II S.O,400706,Mumbai
Nerul Node-III S.O,400706,Mumbai
Nerul Sec-48 S.O,400706,Mumbai
Nhava B.O,410206,Mumbai
"Ongc Complex,panvel S.O",410221,Mumbai
ONGC-dronagiri B.O,400702,Mumbai
Padghe B.O,410208,Mumbai
Palasdari B.O,410201,Mumbai
Palaspe B.O,410221,Mumbai
Panvel City S.O,410206,Mumbai
Panvel H.O,410206,Mumbai
Pargaon B.O,410206,Mumbai
Patalganga S.O,410220,Mumbai
Pathraj B.O,410201,Mumbai
Poshir B.O,410101,Mumbai
Poyanje B.O,410221,Mumbai
Rasayani S.O,410207,Mumbai
Sai B.O,410221,Mumbai
Sajgaon B.O,410203,Mumbai
Salokh T.Need B.O,410201,Mumbai
Sanpada S.O,400703,Mumbai
Shelu B.O,410101,Mumbai
Sheva B.O,400702,Mumbai
Shilphata S.O,410203,Mumbai
Shirdhon B.O,410221,Mumbai
Somatane B.O,410206,Mumbai
Sugawe B.O,410201,Mumbai
Taloja A.V. S.O,410208,Mumbai
Taloja B.O,410208,Mumbai
Tiware B.O,410201,Mumbai
Tondra B.O,410208,Mumbai
Turbhe Market S.O,400703,Mumbai
Turbhe S.O,400703,Mumbai
Ulwa B.O,410206,Mumbai
Uran S.O,400702,Mumbai
Vahal B.O,410206,Mumbai
Vaje B.O,410206,Mumbai
Vakas B.O,410101,Mumbai
Vasheni B.O,410206,Mumbai
Vashi S.O (Thane),400703,Mumbai
Vashi Sec-26 S.O,400703,Mumbai
Vashivali B.O,410220,Mumbai
Vashi-VII S.O,400703,Mumbai
Vavoshi B.O,410203,Mumbai
Vengaon B.O,410201,Mumbai
Wavandhal B.O,410206,Mumbai
Wavarle B.O,410206,Mumbai
Wawanje B.O,410208,Mumbai
Achloli B.O,402305,Mumbai
Adavale Budruk B.O,402303,Mumbai
Adgaon B.O,402403,Mumbai
Adhi B.O,402103,Mumbai
Agardanda B.O,402401,Mumbai
Agrav B.O,402203,Mumbai
Ainghar B.O,402126,Mumbai
Akshi B.O,402204,Mumbai
Alibag H.O,402201,Mumbai
Ambavade B.O,402307,Mumbai
Ambeghar B.O,402107,Mumbai
Ambet S.O,402101,Mumbai
Ambivali B.O,402301,Mumbai
Amtem B.O,402106,Mumbai
Aravi B.O,402113,Mumbai
Ashtami B.O,402109,Mumbai
Atone B.O,410205,Mumbai
Awas B.O,402208,Mumbai
Bagmandla S.O,402114,Mumbai
Balavali B.O,402107,Mumbai
Bamangaon B.O,402204,Mumbai
Bamnoli B.O,402104,Mumbai
Bapale B.O,402203,Mumbai
Barasgaon B.O,402306,Mumbai
Bense B.O,402106,Mumbai
Bhairav B.O,410205,Mumbai
Bhale B.O,402120,Mumbai
Bhalgaon B.O,402109,Mumbai
Bharadkhol B.O,402404,Mumbai
Bharje B.O,410205,Mumbai
Bhave B.O,402302,Mumbai
Bhira S.O (Raigarh(MH)),402308,Mumbai
Bhonang B.O,402111,Mumbai
Bhoste B.O,402110,Mumbai
Birwadi S.O,402302,Mumbai
Borghar B.O,402303,Mumbai
Borghar Haveli B.O,402111,Mumbai
Borlimandla B.O,402202,Mumbai
Borlipanchatan S.O,402403,Mumbai
Borwadi B.O,402120,Mumbai
Chambhargani B.O,402303,Mumbai
Chandgaon B.O,402109,Mumbai
Chandhave Budruk B.O,402301,Mumbai
Chandore B.O,402122,Mumbai
Chanera B.O,402109,Mumbai
Chaul S.O,402203,Mumbai
Chikhlap B.O,402105,Mumbai
Chikhlap B.O,402113,Mumbai
Chimbhave S.O,415213,Mumbai
Chinchoti B.O,402203,Mumbai
Chinchwali Tarfe Atone B.O,402304,Mumbai
Chive B.O,410205,Mumbai
Chochinde B.O,402301,Mumbai
Chondhi B.O,402208,Mumbai
Chordhe B.O,402109,Mumbai
Dabhol B.O,402102,Mumbai
Dadar B.O,402107,Mumbai
Dahigaon B.O,410205,Mumbai
Dahivad B.O,402302,Mumbai
Dahivali B.O,402117,Mumbai
Dandguri B.O,402404,Mumbai
Dapoli B.O,402302,Mumbai
Dasgaon S.O,402102,Mumbai
Degaon B.O,402117,Mumbai
Deopur B.O,402303,Mumbai
Devali B.O,402103,Mumbai
Devkanhe B.O,402304,Mumbai
Devla B.O,402303,Mumbai
Dhamandevi B.O,402303,Mumbai
Dhamansai B.O,402109,Mumbai
Dhamne B.O,402302,Mumbai
Dharavali B.O,402301,Mumbai
Dhokawade B.O,402208,Mumbai
Dighi S.O,402402,Mumbai
Diveagar S.O,402404,Mumbai
Divil B.O,402303,Mumbai
Dolvi B.O,402107,Mumbai
Gadab B.O,402107,Mumbai
Gagode Budruk B.O,402107,Mumbai
Galsure B.O,402110,Mumbai
Ghosale B.O,402109,Mumbai
Ghotawade B.O,410205,Mumbai
Golegani B.O,402303,Mumbai
Gondale B.O,402301,Mumbai
Gondghar B.O,402105,Mumbai
Goregaon S.O (Raigarh(MH)),402103,Mumbai
Govele B.O,402122,Mumbai
Hamrapur B.O,402107,Mumbai
Hareshwar B.O,402110,Mumbai
Harkol B.O,402103,Mumbai
Hashiware B.O,402209,Mumbai
Hatond B.O,410205,Mumbai
Hodgaon B.O,402104,Mumbai
Jambhulpada B.O,410205,Mumbai
Jamgaon B.O,402308,Mumbai
Janjira Murud S.O,402401,Mumbai
Jasawali B.O,402110,Mumbai
Jite B.O,402120,Mumbai
Jite B.O,402302,Mumbai
Jite B.O,402107,Mumbai
Johe B.O,402107,Mumbai
Jui Budruk B.O,402115,Mumbai
Kalavali B.O,402301,Mumbai
Kamarle B.O,402209,Mumbai
Kamarli B.O,402107,Mumbai
Kamble Tarfe Birwadi B.O,402309,Mumbai
Kamble Tarfe Mahad B.O,402309,Mumbai
Kandale B.O,402107,Mumbai
Kapade Budruk B.O,402303,Mumbai
Karanjadi B.O,402301,Mumbai
Kashid B.O,402401,Mumbai
Kasu B.O,402107,Mumbai
Kavale B.O,402307,Mumbai
Kavil Vahal B.O,402104,Mumbai
Kelte B.O,402105,Mumbai
Kemburli B.O,402301,Mumbai
Khaire Budruk B.O,402109,Mumbai
Khamb B.O,402304,Mumbai
Khamgaon B.O,402105,Mumbai
Khandale B.O,402209,Mumbai
Khandpoli B.O,410205,Mumbai
Kharavali B.O,402104,Mumbai
